"xpath","TY2009","TY2010","TY2011","TY2012","TY2013","TY2014","TY2015","TY2016","TY2017","TY2018","TY2019","TY2020","TY2021","TY2022","TY2023","TY2024"
"/Return/ReturnData/IRS990/Advertising/ProgramServices",12925,41038,53514,60969,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Advertising/Total",21030,74479,97691,110814,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AdvertisingGrp",0,0,0,0,122443,134981,143822,150192,161240,166813,172637,189461,202202,212226,216944,169365
"/Return/ReturnData/IRS990/AdvertisingGrp/FundraisingAmt",0,0,0,0,28699,32019,34250,36476,39816,42607,45310,52493,56603,60401,62832,49383
"/Return/ReturnData/IRS990/AdvertisingGrp/ManagementAndGeneralAmt",0,0,0,0,47561,52215,55818,58591,63427,66496,69878,78091,84447,90177,92729,70327
"/Return/ReturnData/IRS990/AdvertisingGrp/ProgramServicesAmt",0,0,0,0,68194,75363,80944,85112,92226,96269,100893,110657,119589,127432,131734,102800
"/Return/ReturnData/IRS990/AdvertisingGrp/TotalAmt",0,0,0,0,122442,134978,143821,150190,161240,166810,172632,189454,202195,212211,216918,169350
"/Return/ReturnData/IRS990/AllAffiliatesIncluded",4113,19867,27182,29713,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AllAffiliatesIncludedInd",0,0,0,0,32524,35873,37685,38536,40445,41159,2188,2703,1550,1521,1659,1250
"/Return/ReturnData/IRS990/AllOtherContributions",22944,77906,102842,117312,0,0,0,0,0,0,0,0,0,0,0,0
